MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 739 902.53277483833 Group(2,96)-SUSTAIN 0 29274726 1
MARKER 740 903.671663727219 Group(2,96)-RELEASE 0 29274726 1
MARKER 741 903.671663727219 Group(2,97)-ATTACK 0 29274726 1
MARKER 742 904.4124044679597 Group(2,97)-SUSTAIN 0 29274726 1
MARKER 743 905.3614785420338 Group(2,97)-RELEASE 0 29274726 1
MARKER 744 905.3614785420338 Group(2,98)-ATTACK 0 29274726 1
MARKER 745 906.3985155790708 Group(2,98)-SUSTAIN 0 29274726 1
MARKER 746 907.2120076425629 Group(2,98)-RELEASE 0 29274726 1
MARKER 747 907.2120076425629 Group(2,99)-ATTACK 0 29274726 1
MARKER 748 909.7728542034095 Group(2,99)-SUSTAIN 0 29274726 1
MARKER 749 911.2642563198116 Group(2,99)-RELEASE 0 29274726 1
MARKER 750 911.2642563198116 Group(2,100)-ATTACK 0 29274726 1
MARKER 751 914.432980599647 Group(2,100)-SUSTAIN 0 29274726 1
MARKER 752 916.5209435626099 Group(2,100)-RELEASE 0 29274726 1
MARKER 753 916.5209435626099 Group(2,101)-ATTACK 0 29274726 1
MARKER 754 926.4797912992354 Group(2,101)-SUSTAIN 0 29274726 1
MARKER 755 928.3779394473836 Group(2,101)-RELEASE 0 29274726 1
MARKER 756 928.3779394473836 Group(2,102)-ATTACK 0 29274726 1
MARKER 757 930.4520135214576 Group(2,102)-SUSTAIN 0 29274726 1
MARKER 758 932.0789976484417 Group(2,102)-RELEASE 0 29274726 1
MARKER 759 932.0789976484418 Group(2,103)-ATTACK 0 29274726 1
MARKER 760 940.6151528512637 Group(2,103)-SUSTAIN 0 29274726 1
MARKER 761 954.9326131687241 Group(2,103)-RELEASE 0 29274726 1
MARKER 762 954.9326131687241 Group(2,104)-ATTACK 0 29274726 1
MARKER 763 956.0966343327452 Group(2,104)-SUSTAIN 0 29274726 1
MARKER 764 967.4267342739563 Group(2,104)-RELEASE 0 29274726 1
MARKER 765 967.4267342739563 Group(2,105)-ATTACK 0 29274726 1
MARKER 766 970.5954585537917 Group(2,105)-SUSTAIN 0 29274726 1
MARKER 767 987.2991622574954 Group(2,105)-RELEASE 0 29274726 1
MARKER 768 987.2991622574954 Group(2,106)-ATTACK 0 29274726 1
MARKER 769 990.8843474426806 Group(2,106)-SUSTAIN 0 29274726 1
MARKER 770 999.9954585537917 Group(2,106)-RELEASE 0 29274726 1
MARKER 771 999.9954585537917 Group(2,107)-ATTACK 0 29274726 1
MARKER 772 1008.360890652557 Group(2,107)-SUSTAIN 0 29274726 1
MARKER 773 1022.6783509700174 Group(2,107)-RELEASE 0 29274726 1
MARKER 774 1022.6783509700174 Group(2,108)-ATTACK 0 29274726 1
MARKER 775 1036.5069223985888 Group(2,108)-SUSTAIN 0 29274726 1
MARKER 776 1037.9712081128746 Group(2,108)-RELEASE 0 29274726 1
MARKER 777 1037.9712081128746 Group(2,109)-ATTACK 0 29274726 1
MARKER 778 1043.5712081128745 Group(2,109)-SUSTAIN 0 29274726 1
MARKER 779 1044.7100970017634 Group(2,109)-RELEASE 0 29274726 1
MARKER 780 1044.7100970017634 Group(2,110)-ATTACK 0 29274726 1
MARKER 781 1047.1100970017635 Group(2,110)-SUSTAIN 0 29274726 1
MARKER 782 1065.7093033509698 Group(2,110)-RELEASE 0 29274726 1
MARKER 783 1065.7093033509698 Group(2,111)-ATTACK 0 29274726 1
MARKER 784 1072.3759700176365 Group(2,111)-SUSTAIN 0 29274726 1
MARKER 785 1074.2741181657846 Group(2,111)-RELEASE 0 29274726 1
MARKER 786 1074.2741181657846 Group(2,112)-ATTACK 0 29274726 1
MARKER 787 1075.3111552028215 Group(2,112)-SUSTAIN 0 29274726 1
MARKER 788 1076.1246472663136 Group(2,112)-RELEASE 0 29274726 1
MARKER 789 1076.1246472663136 Group(2,113)-ATTACK 0 29274726 1
MARKER 790 1077.853042328042 Group(2,113)-SUSTAIN 0 29274726 1
MARKER 791 1081.5370811287473 Group(2,113)-RELEASE 0 29274726 1
MARKER 792 1081.5370811287473 Group(2,114)-ATTACK 0 29274726 1
MARKER 793 1083.9370811287474 Group(2,114)-SUSTAIN 0 29274726 1
MARKER 794 1111.2704144620807 Group(2,114)-RELEASE 0 29274726 1
MARKER 795 1111.2704144620807 Group(2,115)-ATTACK 0 29274726 1
MARKER 796 1116.455599647266 Group(2,115)-SUSTAIN 0 29274726 1
MARKER 797 1135.9794091710755 Group(2,115)-RELEASE 0 29274726 1
MARKER 798 1135.9794091710753 Group(2,116)-ATTACK 0 29274726 1
MARKER 799 1145.3127425044086 Group(2,116)-SUSTAIN 0 29274726 1
MARKER 800 1160.4979276895938 Group(2,116)-RELEASE 0 29274726 1
MARKER 801 1160.4979276895938 Group(2,117)-ATTACK 0 29274726 1
MARKER 802 1162.572001763668 Group(2,117)-SUSTAIN 0 29274726 1
MARKER 803 1164.198985890652 Group(2,117)-RELEASE 0 29274726 1
MARKER 804 1164.198985890652 Group(2,118)-ATTACK 0 29274726 1
MARKER 805 1167.6275573192233 Group(2,118)-SUSTAIN 0 29274726 1
MARKER 806 1170.0680335096995 Group(2,118)-RELEASE 0 29274726 1
MARKER 807 1170.0680335096997 Group(2,119)-ATTACK 0 29274726 1
MARKER 808 1171.0204144620807 Group(2,119)-SUSTAIN 0 29274726 1
MARKER 809 1174.6468694885357 Group(2,119)-RELEASE 0 29274726 1
MARKER 810 1174.6468694885357 Group(2,120)-ATTACK 0 29274726 1
MARKER 811 1179.2563932980595 Group(2,120)-SUSTAIN 0 29274726 1
MARKER 812 1180.5986552028214 Group(2,120)-RELEASE 0 29274726 1
MARKER 813 1180.5986552028214 Group(2,121)-ATTACK 0 29274726 1
MARKER 814 1187.0007716049379 Group(2,121)-SUSTAIN 0 29274726 1
MARKER 815 1188.221009700176 Group(2,121)-RELEASE 0 29274726 1
MARKER 816 1188.221009700176 Group(2,122)-ATTACK 0 29274726 1
MARKER 817 1199.7448192239856 Group(2,122)-SUSTAIN 0 29274726 1
MARKER 818 1201.2362213403876 Group(2,122)-RELEASE 0 29274726 1
MARKER 819 1201.2362213403876 Group(2,123)-ATTACK 0 29274726 1
MARKER 820 1208.2074147560254 Group(2,123)-SUSTAIN 0 29274726 1
MARKER 821 1209.1564888300995 Group(2,123)-RELEASE 0 29274726 1
MARKER 822 1209.1564888300995 Group(2,124)-ATTACK 0 29274726 1
MARKER 823 1212.4898221634328 Group(2,124)-SUSTAIN 0 29274726 1
MARKER 824 1214.198155496766 Group(2,124)-RELEASE 0 29274726 1
MARKER 825 1214.1981554967663 Group(2,125)-ATTACK 0 29274726 1
MARKER 826 1216.7907480893589 Group(2,125)-SUSTAIN 0 29274726 1
MARKER 827 1219.2360376249262 Group(2,125)-RELEASE 0 29274726 1
MARKER 828 1219.2360376249262 Group(2,126)-ATTACK 0 29274726 1
MARKER 829 1225.6381540270427 Group(2,126)-SUSTAIN 0 29274726 1
MARKER 830 1226.9804159318046 Group(2,126)-RELEASE 0 29274726 1
MARKER 831 1226.9804159318046 Group(2,127)-ATTACK 0 29274726 1
MARKER 832 1237.2470825984713 Group(2,127)-SUSTAIN 0 29274726 1
MARKER 833 1239.3350455614343 Group(2,127)-RELEASE 0 29274726 1
MARKER 834 1239.3350455614343 Group(2,128)-ATTACK 0 29274726 1
MARKER 835 1255.4683788947677 Group(2,128)-SUSTAIN 0 29274726 1
MARKER 836 1257.176712228101 Group(2,128)-RELEASE 0 29274726 1
MARKER 837 1257.176712228101 Group(2,129)-ATTACK 0 29274726 1
MARKER 838 1263.8433788947677 Group(2,129)-SUSTAIN 0 29274726 1
MARKER 839 1265.7415270429158 Group(2,129)-RELEASE 0 29274726 1
MARKER 840 1265.7415270429158 Group(2,130)-ATTACK 0 29274726 1
MARKER 841 1275.7003747795413 Group(2,130)-SUSTAIN 0 29274726 1
MARKER 842 1277.7883377425044 Group(2,130)-RELEASE 0 29274726 1
MARKER 843 1277.7883377425042 Group(2,131)-ATTACK 0 29274726 1
MARKER 844 1280.9570620223396 Group(2,131)-SUSTAIN 0 29274726 1
MARKER 845 1282.4484641387417 Group(2,131)-RELEASE 0 29274726 1
MARKER 846 1282.4484641387417 Group(2,132)-ATTACK 0 29274726 1
MARKER 847 1283.6124853027627 Group(2,132)-SUSTAIN 0 29274726 1
MARKER 848 1285.4021678424454 Group(2,132)-RELEASE 0 29274726 1
MARKER 849 1285.4021678424454 Group(2,133)-ATTACK 0 29274726 1
MARKER 850 1293.7675999412108 Group(2,133)-SUSTAIN 0 29274726 1
MARKER 851 1294.9064888300998 Group(2,133)-RELEASE 0 29274726 1
MARKER 852 1294.9064888300998 Group(2,134)-ATTACK 0 29274726 1
MARKER 853 1298.4916740152848 Group(2,134)-SUSTAIN 0 29274726 1
MARKER 854 1300.579636978248 Group(2,134)-RELEASE 0 29274726 1
MARKER 855 1300.579636978248 Group(2,135)-ATTACK 0 29274726 1
MARKER 856 1316.7129703115813 Group(2,135)-SUSTAIN 0 29274726 1
MARKER 857 1318.4213036449146 Group(2,135)-RELEASE 0 29274726 1
MARKER 858 1318.4213036449146 Group(2,136)-ATTACK 0 29274726 1
MARKER 859 1320.2879703115811 Group(2,136)-SUSTAIN 0 29274726 1
MARKER 860 1321.752256025867 Group(2,136)-RELEASE 0 29274726 1
MARKER 861 1321.752256025867 Group(2,137)-ATTACK 0 29274726 1
MARKER 862 1327.3522560258668 Group(2,137)-SUSTAIN 0 29274726 1
MARKER 863 1328.4911449147558 Group(2,137)-RELEASE 0 29274726 1
MARKER 864 1328.4911449147558 Group(2,138)-ATTACK 0 29274726 1
MARKER 865 1336.8565770135212 Group(2,138)-SUSTAIN 0 29274726 1
MARKER 866 1338.646259553204 Group(2,138)-RELEASE 0 29274726 1
MARKER 867 1338.6462595532037 Group(2,139)-ATTACK 0 29274726 1
MARKER 868 1342.4176881246321 Group(2,139)-SUSTAIN 0 29274726 1
MARKER 869 1343.759950029394 Group(2,139)-RELEASE 0 29274726 1
MARKER 870 1343.759950029394 Group(2,140)-ATTACK 0 29274726 1
MARKER 871 1348.3694738389179 Group(2,140)-SUSTAIN 0 29274726 1
MARKER 872 1349.8337595532037 Group(2,140)-RELEASE 0 29274726 1
MARKER 873 1349.8337595532037 Group(2,141)-ATTACK 0 29274726 1
MARKER 874 1351.7004262198702 Group(2,141)-SUSTAIN 0 29274726 1
MARKER 875 1353.4087595532035 Group(2,141)-RELEASE 0 29274726 1
MARKER 876 1353.4087595532037 Group(2,142)-ATTACK 0 29274726 1
MARKER 877 1365.9569077013518 Group(2,142)-SUSTAIN 0 29274726 1
MARKER 878 1367.2991696061138 Group(2,142)-RELEASE 0 29274726 1
MARKER 879 1367.2991696061138 Group(2,143)-ATTACK 0 29274726 1
MARKER 880 1377.5658362727804 Group(2,143)-SUSTAIN 0 29274726 1
MARKER 881 1379.6537992357435 Group(2,143)-RELEASE 0 29274726 1
MARKER 882 1379.6537992357435 Group(2,144)-ATTACK 0 29274726 1
MARKER 883 1382.822523515579 Group(2,144)-SUSTAIN 0 29274726 1
MARKER 884 1384.313925631981 Group(2,144)-RELEASE 0 29274726 1
MARKER 885 1384.313925631981 Group(2,145)-ATTACK 0 29274726 1
MARKER 886 1395.8377351557906 Group(2,145)-SUSTAIN 0 29274726 1
MARKER 887 1397.0579732510287 Group(2,145)-RELEASE 0 29274726 1
MARKER 888 1397.0579732510287 Group(2,146)-ATTACK 0 29274726 1
MARKER 889 1403.4600896531451 Group(2,146)-SUSTAIN 0 29274726 1
MARKER 890 1406.144613462669 Group(2,146)-RELEASE 0 29274726 1
MARKER 891 1406.144613462669 Group(2,147)-ATTACK 0 29274726 1
MARKER 892 1409.9160420340975 Group(2,147)-SUSTAIN 0 29274726 1
MARKER 893 1411.7057245737801 Group(2,147)-RELEASE 0 29274726 1
MARKER 894 1411.7057245737801 Group(2,148)-ATTACK 0 29274726 1
MARKER 895 1420.241879776602 Group(2,148)-SUSTAIN 0 29274726 1
MARKER 896 1421.868863903586 Group(2,148)-RELEASE 0 29274726 1
MARKER 897 1421.868863903586 Group(2,149)-ATTACK 0 29274726 1
MARKER 898 1426.9905570252793 Group(2,149)-SUSTAIN 0 29274726 1
MARKER 899 1428.4819591416813 Group(2,149)-RELEASE 0 29274726 1
MARKER 900 1428.4819591416813 Group(2,150)-ATTACK 0 29274726 1
MARKER 901 1433.7200543797765 Group(2,150)-SUSTAIN 0 29274726 1
MARKER 902 1436.4045781893003 Group(2,150)-RELEASE 0 29274726 1
MARKER 903 1436.4045781893003 Group(2,151)-ATTACK 0 29274726 1
MARKER 904 1441.0141019988241 Group(2,151)-SUSTAIN 0 29274726 1
MARKER 905 1442.47838771311 Group(2,151)-RELEASE 0 29274726 1
MARKER 906 1442.47838771311 Group(2,152)-ATTACK 0 29274726 1
MARKER 907 1456.3069591416813 Group(2,152)-SUSTAIN 0 29274726 1
MARKER 908 1458.096641681364 Group(2,152)-RELEASE 0 29274726 1
MARKER 909 1458.096641681364 Group(2,153)-ATTACK 0 29274726 1
MARKER 910 1466.6327968841858 Group(2,153)-SUSTAIN 0 29274726 1
MARKER 911 1468.25978101117 Group(2,153)-RELEASE 0 29274726 1
MARKER 912 1468.25978101117 Group(2,154)-ATTACK 0 29274726 1
MARKER 913 1471.6883524397413 Group(2,154)-SUSTAIN 0 29274726 1
MARKER 914 1472.9085905349793 Group(2,154)-RELEASE 0 29274726 1
MARKER 915 1472.9085905349796 Group(2,155)-ATTACK 0 29274726 1
MARKER 916 1473.8609714873605 Group(2,155)-SUSTAIN 0 29274726 1
MARKER 917 1475.3252572016463 Group(2,155)-RELEASE 0 29274726 1
MARKER 918 1475.3252572016463 Group(2,156)-ATTACK 0 29274726 1
MARKER 919 1480.9252572016462 Group(2,156)-SUSTAIN 0 29274726 1
MARKER 920 1482.0641460905351 Group(2,156)-RELEASE 0 29274726 1
MARKER 921 1482.0641460905351 Group(2,157)-ATTACK 0 29274726 1
MARKER 922 1482.8048868312758 Group(2,157)-SUSTAIN 0 29274726 1
MARKER 923 1483.75396090535 Group(2,157)-RELEASE 0 29274726 1
MARKER 924 1483.75396090535 Group(2,158)-ATTACK 0 29274726 1
MARKER 925 1484.7909979423869 Group(2,158)-SUSTAIN 0 29274726 1
MARKER 926 1485.604490005879 Group(2,158)-RELEASE 0 29274726 1
MARKER 927 1485.604490005879 Group(2,159)-ATTACK 0 29274726 1
MARKER 928 1488.1653365667255 Group(2,159)-SUSTAIN 0 29274726 1
MARKER 929 1489.6567386831275 Group(2,159)-RELEASE 0 29274726 1
MARKER 930 1489.6567386831275 Group(2,160)-ATTACK 0 29274726 1
MARKER 931 1492.825462962963 Group(2,160)-SUSTAIN 0 29274726 1
MARKER 932 1494.913425925926 Group(2,160)-RELEASE 0 29274726 1
MARKER 933 1494.9134259259258 Group(2,161)-ATTACK 0 29274726 1
MARKER 934 1504.8722736625514 Group(2,161)-SUSTAIN 0 29274726 1
MARKER 935 1506.7704218106994 Group(2,161)-RELEASE 0 29274726 1
MARKER 936 1506.7704218106994 Group(2,162)-ATTACK 0 29274726 1
MARKER 937 1508.8444958847736 Group(2,162)-SUSTAIN 0 29274726 1
MARKER 938 1510.4714800117576 Group(2,162)-RELEASE 0 29274726 1
MARKER 939 1510.4714800117576 Group(2,163)-ATTACK 0 29274726 1
MARKER 940 1519.0076352145795 Group(2,163)-SUSTAIN 0 29274726 1
MARKER 941 1533.3250955320398 Group(2,163)-RELEASE 0 29274726 1
MARKER 942 1533.3250955320398 Group(2,164)-ATTACK 0 29274726 1
MARKER 943 1534.4891166960608 Group(2,164)-SUSTAIN 0 29274726 1
MARKER 944 1545.819216637272 Group(2,164)-RELEASE 0 29274726 1
MARKER 945 1545.819216637272 Group(2,165)-ATTACK 0 29274726 1
MARKER 946 1548.9879409171074 Group(2,165)-SUSTAIN 0 29274726 1
MARKER 947 1565.691644620811 Group(2,165)-RELEASE 0 29274726 1
MARKER 948 1565.691644620811 Group(2,166)-ATTACK 0 29274726 1
MARKER 949 1569.2768298059962 Group(2,166)-SUSTAIN 0 29274726 1
MARKER 950 1578.3879409171072 Group(2,166)-RELEASE 0 29274726 1
MARKER 951 1578.3879409171075 Group(2,167)-ATTACK 0 29274726 1
MARKER 952 1586.753373015873 Group(2,167)-SUSTAIN 0 29274726 1
MARKER 953 1601.0708333333332 Group(2,167)-RELEASE 0 29274726 1
MARKER 954 1601.0708333333332 Group(2,168)-ATTACK 0 29274726 1
MARKER 955 1614.8994047619046 Group(2,168)-SUSTAIN 0 29274726 1
MARKER 956 1616.3636904761904 Group(2,168)-RELEASE 0 29274726 1
MARKER 957 1616.3636904761904 Group(2,169)-ATTACK 0 29274726 1
MARKER 958 1621.9636904761903 Group(2,169)-SUSTAIN 0 29274726 1
MARKER 959 1623.1025793650792 Group(2,169)-RELEASE 0 29274726 1
MARKER 960 1623.1025793650792 Group(2,170)-ATTACK 0 29274726 1
MARKER 961 1625.5025793650793 Group(2,170)-SUSTAIN 0 29274726 1
MARKER 962 1644.1017857142856 Group(2,170)-RELEASE 0 29274726 1
MARKER 963 1644.1017857142856 Group(2,171)-ATTACK 0 29274726 1
MARKER 964 1650.7684523809523 Group(2,171)-SUSTAIN 0 29274726 1
MARKER 965 1652.6666005291004 Group(2,171)-RELEASE 0 29274726 1
MARKER 966 1652.6666005291004 Group(2,172)-ATTACK 0 29274726 1
MARKER 967 1653.7036375661373 Group(2,172)-SUSTAIN 0 29274726 1
MARKER 968 1654.5171296296294 Group(2,172)-RELEASE 0 29274726 1
MARKER 969 1654.5171296296294 Group(2,173)-ATTACK 0 29274726 1
MARKER 970 1656.2455246913578 Group(2,173)-SUSTAIN 0 29274726 1
MARKER 971 1659.9295634920632 Group(2,173)-RELEASE 0 29274726 1
MARKER 972 1659.9295634920632 Group(2,174)-ATTACK 0 29274726 1
MARKER 973 1662.3295634920632 Group(2,174)-SUSTAIN 0 29274726 1
MARKER 974 1689.6628968253965 Group(2,174)-RELEASE 0 29274726 1
MARKER 975 1689.6628968253965 Group(2,175)-ATTACK 0 29274726 1
MARKER 976 1694.8480820105817 Group(2,175)-SUSTAIN 0 29274726 1
MARKER 977 1714.3718915343914 Group(2,175)-RELEASE 0 29274726 1
MARKER 978 1714.3718915343911 Group(2,176)-ATTACK 0 29274726 1
MARKER 979 1723.7052248677244 Group(2,176)-SUSTAIN 0 29274726 1
MARKER 980 1738.8904100529096 Group(2,176)-RELEASE 0 29274726 1
MARKER 981 1738.8904100529096 Group(2,177)-ATTACK 0 29274726 1
MARKER 982 1740.9644841269837 Group(2,177)-SUSTAIN 0 29274726 1
MARKER 983 1742.5914682539678 Group(2,177)-RELEASE 0 29274726 1
MARKER 984 1742.5914682539678 Group(2,178)-ATTACK 0 29274726 1
MARKER 985 1746.0200396825392 Group(2,178)-SUSTAIN 0 29274726 1
MARKER 986 1748.4605158730153 Group(2,178)-RELEASE 0 29274726 1
MARKER 987 1748.4605158730155 Group(2,179)-ATTACK 0 29274726 1
MARKER 988 1749.4128968253965 Group(2,179)-SUSTAIN 0 29274726 1
MARKER 989 1753.0393518518515 Group(2,179)-RELEASE 0 29274726 1
MARKER 990 1753.0393518518515 Group(2,180)-ATTACK 0 29274726 1
MARKER 991 1757.6488756613753 Group(2,180)-SUSTAIN 0 29274726 1
MARKER 992 1758.9911375661372 Group(2,180)-RELEASE 0 29274726 1
MARKER 993 1758.9911375661372 Group(2,181)-ATTACK 0 29274726 1
MARKER 994 1765.3932539682537 Group(2,181)-SUSTAIN 0 29274726 1
MARKER 995 1766.6134920634918 Group(2,181)-RELEASE 0 29274726 1
MARKER 996 1766.6134920634918 Group(2,182)-ATTACK 0 29274726 1
MARKER 997 1778.1373015873014 Group(2,182)-SUSTAIN 0 29274726 1
MARKER 998 1779.6287037037034 Group(2,182)-RELEASE 0 29274726 1
MARKER 999 1779.6287037037034 Group(2,183)-ATTACK 0 29274726 1
MARKER 1000 1786.5998971193412 Group(2,183)-SUSTAIN 0 29274726 1
MARKER 1001 1787.5489711934154 Group(2,183)-RELEASE 0 29274726 1
MARKER 1002 1787.5489711934154 Group(2,184)-ATTACK 0 29274726 1
MARKER 1003 1790.8823045267486 Group(2,184)-SUSTAIN 0 29274726 1
MARKER 1004 1792.5906378600819 Group(2,184)-RELEASE 0 29274726 1
MARKER 1005 1792.590637860082 Group(2,185)-ATTACK 0 29274726 1
MARKER 1006 1795.1832304526747 Group(2,185)-SUSTAIN 0 29274726 1
MARKER 1007 1797.628519988242 Group(2,185)-RELEASE 0 29274726 1
MARKER 1008 1797.628519988242 Group(2,186)-ATTACK 0 29274726 1
MARKER 1009 1804.0306363903585 Group(2,186)-SUSTAIN 0 29274726 1
MARKER 1010 1805.3728982951204 Group(2,186)-RELEASE 0 29274726 1
MARKER 1011 1805.3728982951204 Group(2,187)-ATTACK 0 29274726 1
MARKER 1012 1815.639564961787 Group(2,187)-SUSTAIN 0 29274726 1
MARKER 1013 1817.7275279247501 Group(2,187)-RELEASE 0 29274726 1
MARKER 1014 1817.7275279247501 Group(2,188)-ATTACK 0 29274726 1
MARKER 1015 1833.8608612580836 Group(2,188)-SUSTAIN 0 29274726 1
MARKER 1016 1835.5691945914168 Group(2,188)-RELEASE 0 29274726 1
MARKER 1017 1835.5691945914168 Group(2,189)-ATTACK 0 29274726 1
MARKER 1018 1842.2358612580836 Group(2,189)-SUSTAIN 0 29274726 1
MARKER 1019 1844.1340094062316 Group(2,189)-RELEASE 0 29274726 1
MARKER 1020 1844.1340094062316 Group(2,190)-ATTACK 0 29274726 1
MARKER 1021 1854.0928571428572 Group(2,190)-SUSTAIN 0 29274726 1
MARKER 1022 1856.1808201058202 Group(2,190)-RELEASE 0 29274726 1
MARKER 1023 1856.18082010582 Group(2,191)-ATTACK 0 29274726 1
MARKER 1024 1859.3495443856555 Group(2,191)-SUSTAIN 0 29274726 1
MARKER 1025 1860.8409465020575 Group(2,191)-RELEASE 0 29274726 1
MARKER 1026 1860.8409465020575 Group(2,192)-ATTACK 0 29274726 1
MARKER 1027 1862.0049676660785 Group(2,192)-SUSTAIN 0 29274726 1
MARKER 1028 1863.7946502057612 Group(2,192)-RELEASE 0 29274726 1
MARKER 1029 1863.7946502057612 Group(2,193)-ATTACK 0 29274726 1
MARKER 1030 1872.1600823045267 Group(2,193)-SUSTAIN 0 29274726 1
MARKER 1031 1873.2989711934156 Group(2,193)-RELEASE 0 29274726 1
MARKER 1032 1873.2989711934156 Group(2,194)-ATTACK 0 29274726 1
MARKER 1033 1876.8841563786007 Group(2,194)-SUSTAIN 0 29274726 1
MARKER 1034 1878.9721193415637 Group(2,194)-RELEASE 0 29274726 1
MARKER 1035 1878.9721193415637 Group(2,195)-ATTACK 0 29274726 1
MARKER 1036 1895.1054526748972 Group(2,195)-SUSTAIN 0 29274726 1
MARKER 1037 1896.8137860082304 Group(2,195)-RELEASE 0 29274726 1
MARKER 1038 1896.8137860082304 Group(2,196)-ATTACK 0 29274726 1
MARKER 1039 1898.680452674897 Group(2,196)-SUSTAIN 0 29274726 1
MARKER 1040 1900.1447383891827 Group(2,196)-RELEASE 0 29274726 1
MARKER 1041 1900.1447383891827 Group(2,197)-ATTACK 0 29274726 1
MARKER 1042 1905.7447383891827 Group(2,197)-SUSTAIN 0 29274726 1
MARKER 1043 1906.8836272780716 Group(2,197)-RELEASE 0 29274726 1
MARKER 1044 1906.8836272780716 Group(2,198)-ATTACK 0 29274726 1
MARKER 1045 1915.249059376837 Group(2,198)-SUSTAIN 0 29274726 1
MARKER 1046 1917.0387419165197 Group(2,198)-RELEASE 0 29274726 1
MARKER 1047 1917.0387419165195 Group(2,199)-ATTACK 0 29274726 1
MARKER 1048 1920.810170487948 Group(2,199)-SUSTAIN 0 29274726 1
MARKER 1049 1922.15243239271 Group(2,199)-RELEASE 0 29274726 1
MARKER 1050 1922.15243239271 Group(2,200)-ATTACK 0 29274726 1
MARKER 1051 1926.7619562022337 Group(2,200)-SUSTAIN 0 29274726 1
MARKER 1052 1928.2262419165195 Group(2,200)-RELEASE 0 29274726 1
MARKER 1053 1928.2262419165195 Group(2,201)-ATTACK 0 29274726 1
MARKER 1054 1930.092908583186 Group(2,201)-SUSTAIN 0 29274726 1
MARKER 1055 1931.8012419165193 Group(2,201)-RELEASE 0 29274726 1
MARKER 1056 1931.8012419165195 Group(2,202)-ATTACK 0 29274726 1
MARKER 1057 1944.3493900646677 Group(2,202)-SUSTAIN 0 29274726 1
MARKER 1058 1945.6916519694296 Group(2,202)-RELEASE 0 29274726 1
MARKER 1059 1945.6916519694296 Group(2,203)-ATTACK 0 29274726 1
MARKER 1060 1955.9583186360962 Group(2,203)-SUSTAIN 0 29274726 1
MARKER 1061 1958.0462815990593 Group(2,203)-RELEASE 0 29274726 1
MARKER 1062 1958.0462815990593 Group(2,204)-ATTACK 0 29274726 1
MARKER 1063 1961.2150058788948 Group(2,204)-SUSTAIN 0 29274726 1
MARKER 1064 1962.7064079952968 Group(2,204)-RELEASE 0 29274726 1
MARKER 1065 1962.7064079952968 Group(2,205)-ATTACK 0 29274726 1
MARKER 1066 1974.2302175191064 Group(2,205)-SUSTAIN 0 29274726 1
MARKER 1067 1975.4504556143445 Group(2,205)-RELEASE 0 29274726 1
MARKER 1068 1975.4504556143445 Group(2,206)-ATTACK 0 29274726 1
MARKER 1069 1981.852572016461 Group(2,206)-SUSTAIN 0 29274726 1
MARKER 1070 1984.5370958259848 Group(2,206)-RELEASE 0 29274726 1
MARKER 1071 1984.5370958259848 Group(2,207)-ATTACK 0 29274726 1
MARKER 1072 1988.3085243974133 Group(2,207)-SUSTAIN 0 29274726 1
MARKER 1073 1990.098206937096 Group(2,207)-RELEASE 0 29274726 1
MARKER 1074 1990.098206937096 Group(2,208)-ATTACK 0 29274726 1
MARKER 1075 1998.6343621399178 Group(2,208)-SUSTAIN 0 29274726 1
MARKER 1076 2000.261346266902 Group(2,208)-RELEASE 0 29274726 1
MARKER 1077 2000.261346266902 Group(2,209)-ATTACK 0 29274726 1
MARKER 1078 2005.383039388595 Group(2,209)-SUSTAIN 0 29274726 1
MARKER 1079 2006.874441504997 Group(2,209)-RELEASE 0 29274726 1
MARKER 1080 2006.874441504997 Group(2,210)-ATTACK 0 29274726 1
MARKER 1081 2012.1125367430923 Group(2,210)-SUSTAIN 0 29274726 1
MARKER 1082 2014.7970605526161 Group(2,210)-RELEASE 0 29274726 1
MARKER 1083 2014.7970605526161 Group(2,211)-ATTACK 0 29274726 1
MARKER 1084 2019.40658436214 Group(2,211)-SUSTAIN 0 29274726 1
MARKER 1085 2020.8708700764257 Group(2,211)-RELEASE 0 29274726 1
MARKER 1086 2020.8708700764257 Group(2,212)-ATTACK 0 29274726 1
MARKER 1087 2034.6994415049971 Group(2,212)-SUSTAIN 0 29274726 1
MARKER 1088 2036.4891240446798 Group(2,212)-RELEASE 0 29274726 1
MARKER 1089 2036.4891240446798 Group(2,213)-ATTACK 0 29274726 1
MARKER 1090 2045.0252792475017 Group(2,213)-SUSTAIN 0 29274726 1
MARKER 1091 2046.6522633744858 Group(2,213)-RELEASE 0 29274726 1
MARKER 1092 2046.6522633744858 Group(2,214)-ATTACK 0 29274726 1
MARKER 1093 2050.0808348030573 Group(2,214)-SUSTAIN 0 29274726 1
MARKER 1094 2051.3010728982954 Group(2,214)-RELEASE 0 29274726 1
MARKER 1095 2051.3010728982954 Group(2,215)-ATTACK 0 29274726 1
MARKER 1096 2052.253453850676 Group(2,215)-SUSTAIN 0 29274726 1
MARKER 1097 2053.717739564962 Group(2,215)-RELEASE 0 29274726 1
MARKER 1098 2053.7177395649624 Group(2,216)-ATTACK 0 29274726 1
MARKER 1099 2059.3177395649623 Group(2,216)-SUSTAIN 0 29274726 1
