MARKER 0 0 Group(0,0)-ATTACK 0 0 1
MARKER 181 856.6370958259846 Group(1,30)-SUSTAIN 0 21274726 1
MARKER 182 879.1706496178717 Group(1,30)-RELEASE 0 21274726 1
MARKER 183 879.1706496178717 Group(1,31)-ATTACK 0 21274726 1
MARKER 184 888.7738242210463 Group(1,31)-SUSTAIN 0 21274726 1
MARKER 185 896.2327748383302 Group(1,31)-RELEASE 0 21274726 1
MARKER 186 896.2327748383303 Group(1,32)-ATTACK 0 21274726 1
MARKER 187 903.2327748383303 Group(1,32)-SUSTAIN 0 21274726 1
MARKER 188 906.2516901822456 Group(1,32)-RELEASE 0 21274726 1
MARKER 189 906.2516901822456 Group(1,33)-ATTACK 0 21274726 1
MARKER 190 910.7331716637271 Group(1,33)-SUSTAIN 0 21274726 1
MARKER 191 927.9890505584949 Group(1,33)-RELEASE 0 21274726 1
MARKER 192 927.9890505584949 Group(1,34)-ATTACK 0 21274726 1
MARKER 193 930.8409024103468 Group(1,34)-SUSTAIN 0 21274726 1
MARKER 194 966.6345532039976 Group(1,34)-RELEASE 0 21274726 1
MARKER 195 966.6345532039976 Group(1,35)-ATTACK 0 21274726 1
MARKER 196 971.3876396237507 Group(1,35)-SUSTAIN 0 21274726 1
MARKER 197 1005.3926366843033 Group(1,35)-RELEASE 0 21274726 1
MARKER 198 1005.3926366843033 Group(1,36)-ATTACK 0 21274726 1
MARKER 199 1053.7926366843033 Group(1,36)-SUSTAIN 0 21274726 1
MARKER 200 1064.0426366843033 Group(1,36)-RELEASE 0 21274726 1
MARKER 201 1064.0426366843033 Group(1,37)-ATTACK 0 21274726 1
MARKER 202 1074.0426366843033 Group(1,37)-SUSTAIN 0 21274726 1
MARKER 203 1079.7370811287476 Group(1,37)-RELEASE 0 21274726 1
MARKER 204 1079.7370811287476 Group(1,38)-ATTACK 0 21274726 1
MARKER 205 1085.7370811287476 Group(1,38)-SUSTAIN 0 21274726 1
MARKER 206 1159.201631393298 Group(1,38)-RELEASE 0 21274726 1
MARKER 207 1159.201631393298 Group(1,39)-ATTACK 0 21274726 1
MARKER 208 1163.8682980599647 Group(1,39)-SUSTAIN 0 21274726 1
MARKER 209 1171.1897266313933 Group(1,39)-RELEASE 0 21274726 1
MARKER 210 1171.1897266313931 Group(1,40)-ATTACK 0 21274726 1
MARKER 211 1182.7135361552027 Group(1,40)-SUSTAIN 0 21274726 1
MARKER 212 1196.8792254556142 Group(1,40)-RELEASE 0 21274726 1
MARKER 213 1196.8792254556142 Group(1,41)-ATTACK 0 21274726 1
MARKER 214 1212.5644106407995 Group(1,41)-SUSTAIN 0 21274726 1
MARKER 215 1216.8352439741327 Group(1,41)-RELEASE 0 21274726 1
MARKER 216 1216.8352439741327 Group(1,42)-ATTACK 0 21274726 1
MARKER 217 1228.0389476778364 Group(1,42)-SUSTAIN 0 21274726 1
MARKER 218 1255.926712228101 Group(1,42)-RELEASE 0 21274726 1
MARKER 219 1255.926712228101 Group(1,43)-ATTACK 0 21274726 1
MARKER 220 1265.0933788947677 Group(1,43)-SUSTAIN 0 21274726 1
MARKER 221 1282.5212154614933 Group(1,43)-RELEASE 0 21274726 1
MARKER 222 1282.521215461493 Group(1,44)-ATTACK 0 21274726 1
MARKER 223 1283.5397339800115 Group(1,44)-SUSTAIN 0 21274726 1
MARKER 224 1302.5963036449145 Group(1,44)-RELEASE 0 21274726 1
MARKER 225 1302.5963036449145 Group(1,45)-ATTACK 0 21274726 1
MARKER 226 1314.6963036449145 Group(1,45)-SUSTAIN 0 21274726 1
MARKER 227 1327.9683054085829 Group(1,45)-RELEASE 0 21274726 1
MARKER 228 1327.968305408583 Group(1,46)-ATTACK 0 21274726 1
MARKER 229 1337.3794165196941 Group(1,46)-SUSTAIN 0 21274726 1
MARKER 230 1349.4837595532038 Group(1,46)-RELEASE 0 21274726 1
MARKER 231 1349.483759553204 Group(1,47)-ATTACK 0 21274726 1
MARKER 232 1352.0504262198706 Group(1,47)-SUSTAIN 0 21274726 1
MARKER 233 1374.1085317460318 Group(1,47)-RELEASE 0 21274726 1
MARKER 234 1374.1085317460318 Group(1,48)-ATTACK 0 21274726 1
MARKER 235 1388.367791005291 Group(1,48)-SUSTAIN 0 21274726 1
MARKER 236 1405.6731848912405 Group(1,48)-RELEASE 0 21274726 1
MARKER 237 1405.6731848912405 Group(1,49)-ATTACK 0 21274726 1
MARKER 238 1410.3874706055262 Group(1,49)-SUSTAIN 0 21274726 1
MARKER 239 1427.1724353321576 Group(1,49)-RELEASE 0 21274726 1
MARKER 240 1427.1724353321576 Group(1,50)-ATTACK 0 21274726 1
MARKER 241 1435.0295781893005 Group(1,50)-SUSTAIN 0 21274726 1
MARKER 242 1457.5631319811876 Group(1,50)-RELEASE 0 21274726 1
MARKER 243 1457.5631319811876 Group(1,51)-ATTACK 0 21274726 1
MARKER 244 1467.1663065843622 Group(1,51)-SUSTAIN 0 21274726 1
MARKER 245 1474.6252572016463 Group(1,51)-RELEASE 0 21274726 1
MARKER 246 1474.625257201646 Group(1,52)-ATTACK 0 21274726 1
MARKER 247 1481.625257201646 Group(1,52)-SUSTAIN 0 21274726 1
MARKER 248 1484.6441725455613 Group(1,52)-RELEASE 0 21274726 1
MARKER 249 1484.6441725455613 Group(1,53)-ATTACK 0 21274726 1
MARKER 250 1489.1256540270429 Group(1,53)-SUSTAIN 0 21274726 1
MARKER 251 1506.3815329218107 Group(1,53)-RELEASE 0 21274726 1
MARKER 252 1506.3815329218105 Group(1,54)-ATTACK 0 21274726 1
MARKER 253 1509.2333847736625 Group(1,54)-SUSTAIN 0 21274726 1
MARKER 254 1545.0270355673133 Group(1,54)-RELEASE 0 21274726 1
